"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","4525d27f4b30b44d27ca380b841dfb1842e22dee"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.9765624999999999, 0.9765625000000006, 0.9999999999999988)"
"diagnostics","Image-original","Size","(256, 256, 176)"
"diagnostics","Image-original","Mean","20.193677728826348"
"diagnostics","Image-original","Minimum","0.0"
"diagnostics","Image-original","Maximum","338.0"
"diagnostics","Mask-original","Hash","abe69c653416252abf7cf380c48cb03910ffb0ea"
"diagnostics","Mask-original","Spacing","(0.9765624999999999, 0.9765625000000006, 0.9999999999999988)"
"diagnostics","Mask-original","Size","(256, 256, 176)"
"diagnostics","Mask-original","BoundingBox","(154, 97, 72, 28, 37, 1)"
"diagnostics","Mask-original","VoxelNum","655"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(167.0564885496183, 115.16641221374046, 72.0)"
"diagnostics","Mask-original","CenterOfMass","(35.73634851068795, -25.932023035065953, -14.602330355740463)"
"original","firstorder","10Percentile","140.4"
"original","firstorder","90Percentile","203.0"
"original","firstorder","Energy","20372712.0"
"original","firstorder","Entropy","2.107534572161821"
"original","firstorder","InterquartileRange","33.0"
"original","firstorder","Kurtosis","7.008309030757526"
"original","firstorder","Maximum","225.0"
"original","firstorder","MeanAbsoluteDeviation","21.132516753102966"
"original","firstorder","Mean","174.02137404580154"
"original","firstorder","Median","179.0"
"original","firstorder","Minimum","2.0"
"original","firstorder","Range","223.0"
"original","firstorder","RobustMeanAbsoluteDeviation","13.490290484237514"
"original","firstorder","RootMeanSquared","176.3614955120211"
"original","firstorder","Skewness","-1.5295375749566347"
"original","firstorder","TotalEnergy","19428932.18994139"
"original","firstorder","Uniformity","0.28909037934852283"
"original","firstorder","Variance","819.9384744478759"
"original","glcm","Autocorrelation","58.514561091459186"
"original","glcm","ClusterProminence","64.97182109807257"
"original","glcm","ClusterShade","-7.309005124635869"
"original","glcm","ClusterTendency","3.521921378286479"
"original","glcm","Contrast","0.8737521856916133"
"original","glcm","Correlation","0.5970092087262363"
"original","glcm","DifferenceAverage","0.5722622670313593"
"original","glcm","DifferenceEntropy","1.3736837899500927"
"original","glcm","DifferenceVariance","0.5413243581980443"
"original","glcm","Id","0.7523014064176922"
"original","glcm","Idm","0.7418097534157166"
"original","glcm","Idmn","0.9917512059352358"
"original","glcm","Idn","0.9500585096376875"
"original","glcm","Imc1","-0.20635840262503505"
"original","glcm","Imc2","0.7374246973354064"
"original","glcm","InverseVariance","0.4047643814508449"
"original","glcm","JointAverage","7.606040690346572"
"original","glcm","JointEnergy","0.1353707518867552"
"original","glcm","JointEntropy","3.5489408752867098"
"original","glcm","MCC","0.6649298200963291"
"original","glcm","MaximumProbability","0.28176169258832356"
"original","glcm","SumAverage","15.212081380693144"
"original","glcm","SumEntropy","2.784453423064516"
"original","glcm","SumSquares","1.098918390994523"
"original","gldm","DependenceEntropy","4.8533387344947485"
"original","gldm","DependenceNonUniformity","82.67328244274809"
"original","gldm","DependenceNonUniformityNormalized","0.12621875182098946"
"original","gldm","DependenceVariance","5.059085134898898"
"original","gldm","GrayLevelNonUniformity","189.35419847328245"
"original","gldm","GrayLevelVariance","1.391727754792844"
"original","gldm","HighGrayLevelEmphasis","57.40152671755725"
"original","gldm","LargeDependenceEmphasis","30.27328244274809"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","1844.2198473282442"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.5203788153514161"
"original","gldm","LowGrayLevelEmphasis","0.021740758771702062"
"original","gldm","SmallDependenceEmphasis","0.13618073971177388"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","6.29513108100181"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0059070657790558385"
"original","glrlm","GrayLevelNonUniformity","73.64404844794888"
"original","glrlm","GrayLevelNonUniformityNormalized","0.22592271229651936"
"original","glrlm","GrayLevelVariance","2.00785570308522"
"original","glrlm","HighGrayLevelRunEmphasis","54.144356019310976"
"original","glrlm","LongRunEmphasis","7.241212690244337"
"original","glrlm","LongRunHighGrayLevelEmphasis","435.4852721583805"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.13237712383015804"
"original","glrlm","LowGrayLevelRunEmphasis","0.02620677267222264"
"original","glrlm","RunEntropy","4.152875491693665"
"original","glrlm","RunLengthNonUniformity","124.46877121097334"
"original","glrlm","RunLengthNonUniformityNormalized","0.3798901090244587"
"original","glrlm","RunPercentage","0.4973282442748092"
"original","glrlm","RunVariance","3.136283774804569"
"original","glrlm","ShortRunEmphasis","0.6344025841743064"
"original","glrlm","ShortRunHighGrayLevelEmphasis","32.17677168837261"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.019694435026758918"
"original","glszm","GrayLevelNonUniformity","14.840909090909092"
"original","glszm","GrayLevelNonUniformityNormalized","0.16864669421487602"
"original","glszm","GrayLevelVariance","3.2054493801652892"
"original","glszm","HighGrayLevelZoneEmphasis","43.55681818181818"
"original","glszm","LargeAreaEmphasis","1054.3522727272727"
"original","glszm","LargeAreaHighGrayLevelEmphasis","65331.795454545456"
"original","glszm","LargeAreaLowGrayLevelEmphasis","17.37458168168362"
"original","glszm","LowGrayLevelZoneEmphasis","0.04536730685540209"
"original","glszm","SizeZoneNonUniformity","33.47727272727273"
"original","glszm","SizeZoneNonUniformityNormalized","0.38042355371900827"
"original","glszm","SmallAreaEmphasis","0.629732398118978"
"original","glszm","SmallAreaHighGrayLevelEmphasis","25.83624149784936"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.03584850841258784"
"original","glszm","ZoneEntropy","4.396603273882786"
"original","glszm","ZonePercentage","0.13435114503816795"
"original","glszm","ZoneVariance","998.9513171487605"
"original","ngtdm","Busyness","0.6656002807236432"
"original","ngtdm","Coarseness","0.014324222768375522"
"original","ngtdm","Complexity","23.187375728912876"
"original","ngtdm","Contrast","0.014637059199050152"
"original","ngtdm","Strength","0.8760079556176325"
